대학구분별(1),2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
대학구분별(1),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원),대학 수 (개),총 매출액 (백만원),평균 (백만원),최솟값 (백만원),최댓값 (백만원)
전체,76,3494.3,46,0,594.5,83,6120.7,73.7,0,960,88,4782.3,54.3,0,494.4,106,8310.1,78.4,0,1030.5,133,14355.5,107.9,0.2,1529.6,128,20171.9,157.6,0.2,4495.3,120,15331.9,127.8,0.1,1555.2,129,16409,127.2,0.3,2012,129,18910.1,146.6,0,2066
대학,58,3239.5,55.9,0,594.5,69,4897.8,71,0,960,70,3559.8,50.9,0,466.5,77,6598.7,85.7,0,1030.5,97,12433,128.2,0.3,1529.6,88,14999.8,168.2,0.2,4495.3,91,11829,130,0.1,1555.2,97,12698,130.9,0.3,2012,92,14154.6,153.9,0,1368.6
전문대학,18,254.8,14.2,0,150,14,1222.9,87.4,0,736,18,1222.5,67.9,0.2,494.4,29,1711.4,59,0,407,36,1922.5,53.4,0.2,265,40,5172.1,129.3,0.5,1514,29,3502.9,120.8,0.5,673.4,32,3711,116,1.3,595,37,4755.5,128.5,0.1,2066
