순번,대학구분별(1),대학 수 (개),창업기업 수 (개),평균 (개),최솟값 (개),최댓값 (개),데이터기준일
1,대학,92,394,4.3,1,23,2020-12-31
2,전문대학,37,101,2.7,1,16,2020-12-31
